Time: 0

Node    Lambda []        Cp[]  Energy [J]
1           0           0   0.000e+00
2   1.100e-01   1.818e+03   2.300e+07
3   1.100e-01   1.818e+03   2.300e+07
4   1.100e-01   1.818e+03   2.300e+07
5   1.100e-01   1.818e+03   2.300e+07
6   1.100e-01   1.818e+03   2.300e+07
7   1.100e-01   1.818e+03   2.300e+07
8   1.100e-01   1.818e+03   2.300e+07
9   1.100e-01   1.818e+03   2.300e+07
10   1.100e-01   1.818e+03   2.300e+07
11   1.100e-01   1.818e+03   2.300e+07
12   0.000e+00   0.000e+00   0.000e+00
